field_id,date,ndvi
F014,2025-09-22,0.493
F014,2025-09-23,0.515
F014,2025-09-24,0.508
F014,2025-09-25,0.495
F014,2025-09-26,0.49
F014,2025-09-27,0.476
F014,2025-09-28,0.514
F014,2025-09-29,0.494
F014,2025-09-30,0.515
F014,2025-10-01,0.489
F014,2025-10-02,0.513
F014,2025-10-03,0.515
F014,2025-10-04,0.511
F014,2025-10-05,0.486
F014,2025-10-06,0.521
F014,2025-10-07,0.508
F014,2025-10-08,0.487
F014,2025-10-09,0.511
F014,2025-10-10,0.539
F014,2025-10-11,0.481
F014,2025-10-12,0.489
F014,2025-10-13,0.506
F014,2025-10-14,0.49
F014,2025-10-15,0.487
F014,2025-10-16,0.495
F014,2025-10-17,0.458
F014,2025-10-18,0.493
F014,2025-10-19,0.492
F014,2025-10-20,0.494
F015,2025-09-21,0.494
F015,2025-09-22,0.49
F015,2025-09-23,0.485
F015,2025-09-24,0.507
F015,2025-09-25,0.493
F015,2025-09-26,0.498
F015,2025-09-27,0.526
F015,2025-09-28,0.501
F015,2025-09-29,0.499
F015,2025-09-30,0.499
F015,2025-10-01,0.48
F015,2025-10-02,0.516
F015,2025-10-03,0.488
F015,2025-10-04,0.513
F015,2025-10-05,0.482
F015,2025-10-06,0.484
F015,2025-10-07,0.513
F015,2025-10-08,0.527
F015,2025-10-09,0.497
F015,2025-10-10,0.477
F015,2025-10-11,0.531
F015,2025-10-12,0.474
F015,2025-10-13,0.494
F015,2025-10-14,0.471
F015,2025-10-15,0.51
F015,2025-10-16,0.478
F015,2025-10-17,0.528
F015,2025-10-18,0.518
F015,2025-10-19,0.494
F015,2025-10-20,0.469
F016,2025-09-21,0.443
F016,2025-09-22,0.449
F016,2025-09-23,0.476
F016,2025-09-24,0.462
F016,2025-09-25,0.457
F016,2025-09-26,0.425
F016,2025-09-27,0.46
F016,2025-09-28,0.448
F016,2025-09-29,0.486
F016,2025-09-30,0.475
F016,2025-10-01,0.456
F016,2025-10-02,0.408
F016,2025-10-03,0.443
F016,2025-10-04,0.447
F016,2025-10-05,0.464
F016,2025-10-06,0.467
F016,2025-10-07,0.487
F016,2025-10-08,0.453
F016,2025-10-09,0.442
F016,2025-10-10,0.446
F016,2025-10-11,0.445
F016,2025-10-12,0.386
F016,2025-10-13,0.466
F016,2025-10-14,0.443
F016,2025-10-15,0.412
F016,2025-10-16,0.468
F016,2025-10-17,0.441
F016,2025-10-18,0.449
F016,2025-10-19,0.411
F016,2025-10-20,0.448
F017,2025-09-21,0.57
F017,2025-09-22,0.535
F017,2025-09-23,0.558
F017,2025-09-24,0.537
F017,2025-09-25,0.531
F017,2025-09-26,0.528
F017,2025-09-27,0.536
F017,2025-09-28,0.585
F017,2025-09-29,0.563
F017,2025-09-30,0.53
F017,2025-10-01,0.537
F017,2025-10-02,0.571
F017,2025-10-03,0.55
F017,2025-10-04,0.547
F017,2025-10-05,0.534
F017,2025-10-06,0.505
F017,2025-10-07,0.544
F017,2025-10-08,0.554
F017,2025-10-09,0.542
F017,2025-10-10,0.546
F017,2025-10-11,0.53
F017,2025-10-12,0.535
F017,2025-10-13,0.533
F017,2025-10-14,0.568
F017,2025-10-15,0.571
F017,2025-10-16,0.56
F017,2025-10-17,0.556
F017,2025-10-18,0.53
F017,2025-10-19,0.564
F017,2025-10-20,0.53
F018,2025-09-21,0.445
F018,2025-09-22,0.451
F018,2025-09-23,0.401
F018,2025-09-24,0.461
F018,2025-09-25,0.445
F018,2025-09-26,0.46
F018,2025-09-27,0.453
F018,2025-09-28,0.459
F018,2025-09-29,0.417
F018,2025-09-30,0.433
F018,2025-10-01,0.471
F018,2025-10-02,0.434
F018,2025-10-03,0.409
F018,2025-10-04,0.472
F018,2025-10-05,0.443
F018,2025-10-06,0.44
F018,2025-10-07,0.435
F018,2025-10-08,0.487
F018,2025-10-09,0.46
F018,2025-10-10,0.43
F018,2025-10-11,0.439
F018,2025-10-12,0.454
F018,2025-10-13,0.479
F018,2025-10-14,0.458
F018,2025-10-15,0.451
F018,2025-10-16,0.446
F018,2025-10-17,0.451
F018,2025-10-18,0.467
F018,2025-10-19,0.404
F018,2025-10-20,0.466
F019,2025-09-21,0.417
F019,2025-09-22,0.475
F019,2025-09-23,0.443
F019,2025-09-24,0.429
F019,2025-09-25,0.461
F019,2025-09-26,0.447
F019,2025-09-27,0.438
F019,2025-09-28,0.429
F019,2025-09-29,0.443
F019,2025-09-30,0.467
F019,2025-10-01,0.43
F019,2025-10-02,0.46
F019,2025-10-03,0.433
F019,2025-10-04,0.442
F019,2025-10-05,0.41
F019,2025-10-06,0.453
F019,2025-10-07,0.434
F019,2025-10-08,0.483
F019,2025-10-09,0.417
F019,2025-10-10,0.466
F019,2025-10-11,0.426
F019,2025-10-12,0.475
F019,2025-10-13,0.451
F019,2025-10-14,0.463
F019,2025-10-15,0.472
F019,2025-10-16,0.423
F019,2025-10-17,0.419
F019,2025-10-18,0.447
F019,2025-10-19,0.449
F019,2025-10-20,0.434
F020,2025-09-21,0.564
F020,2025-09-22,0.561
F020,2025-09-23,0.553
F020,2025-09-24,0.508
F020,2025-09-25,0.551
F020,2025-09-26,0.556
F020,2025-09-27,0.557
F020,2025-09-28,0.562
F020,2025-09-29,0.541
F020,2025-09-30,0.567
F020,2025-10-01,0.543
F020,2025-10-02,0.547
F020,2025-10-03,0.571
F020,2025-10-04,0.575
F020,2025-10-05,0.586
F020,2025-10-06,0.547
F020,2025-10-07,0.556
F020,2025-10-08,0.571
F020,2025-10-09,0.562
F020,2025-10-10,0.546
F020,2025-10-11,0.554
F020,2025-10-12,0.533
F020,2025-10-13,0.535
F020,2025-10-14,0.551
F020,2025-10-15,0.525
F020,2025-10-16,0.547
F020,2025-10-17,0.554
F020,2025-10-18,0.517
F020,2025-10-19,0.56
F020,2025-10-20,0.526
F021,2025-09-21,0.653
F021,2025-09-22,0.629
F021,2025-09-23,0.621
F021,2025-09-24,0.641
F021,2025-09-25,0.611
F021,2025-09-26,0.651
F021,2025-09-27,0.65
F021,2025-09-28,0.617
F021,2025-09-29,0.676
F021,2025-09-30,0.64
F021,2025-10-01,0.64
F021,2025-10-02,0.634
F021,2025-10-03,0.659
F021,2025-10-04,0.644
F021,2025-10-05,0.648
F021,2025-10-06,0.629
F021,2025-10-07,0.639
F021,2025-10-08,0.656
F021,2025-10-09,0.676
F021,2025-10-10,0.654
F021,2025-10-11,0.643
F021,2025-10-12,0.632
F021,2025-10-13,0.618
F021,2025-10-14,0.633
F021,2025-10-15,0.611
F021,2025-10-16,0.676
F021,2025-10-17,0.652
F021,2025-10-18,0.648
F021,2025-10-19,0.648
F021,2025-10-20,0.647
F022,2025-09-21,0.62
F022,2025-09-22,0.688
F022,2025-09-23,0.7
F022,2025-09-24,0.662
F022,2025-09-25,0.642
F022,2025-09-26,0.672
F022,2025-09-27,0.636
F022,2025-09-28,0.621
F022,2025-09-29,0.661
F022,2025-09-30,0.664
F022,2025-10-01,0.653
F022,2025-10-02,0.631
F022,2025-10-03,0.642
F022,2025-10-04,0.631
F022,2025-10-05,0.654
F022,2025-10-06,0.65
F022,2025-10-07,0.638
F022,2025-10-08,0.62
F022,2025-10-09,0.649
F022,2025-10-10,0.665
F022,2025-10-11,0.614
F022,2025-10-12,0.672
F022,2025-10-13,0.659
F022,2025-10-14,0.639
F022,2025-10-15,0.643
F022,2025-10-16,0.677
F022,2025-10-17,0.642
F022,2025-10-18,0.643
F022,2025-10-19,0.641
F022,2025-10-20,0.652
F023,2025-09-21,0.446
F023,2025-09-22,0.45
F023,2025-09-23,0.472
F023,2025-09-24,0.423
F023,2025-09-25,0.442
F023,2025-09-26,0.428
F023,2025-09-27,0.465
F023,2025-09-28,0.413
F023,2025-09-29,0.467
F023,2025-09-30,0.472
F023,2025-10-01,0.462
F023,2025-10-02,0.453
F023,2025-10-03,0.461
F023,2025-10-04,0.47
F023,2025-10-05,0.454
F023,2025-10-06,0.462
F023,2025-10-07,0.45
F023,2025-10-08,0.437
F023,2025-10-09,0.462
F023,2025-10-10,0.477
F023,2025-10-11,0.462
F023,2025-10-12,0.467
F023,2025-10-13,0.46
F023,2025-10-14,0.441
F023,2025-10-15,0.44
F023,2025-10-16,0.426
F023,2025-10-17,0.433
F023,2025-10-18,0.447
F023,2025-10-19,0.447
F023,2025-10-20,0.439
F024,2025-09-21,0.532
F024,2025-09-22,0.51
F024,2025-09-23,0.517
F024,2025-09-24,0.468
F024,2025-09-25,0.504
F024,2025-09-26,0.498
F024,2025-09-27,0.505
F024,2025-09-28,0.48
F024,2025-09-29,0.49
F024,2025-09-30,0.515
F024,2025-10-01,0.492
F024,2025-10-02,0.504
F024,2025-10-03,0.482
F024,2025-10-04,0.469
F024,2025-10-05,0.498
F024,2025-10-06,0.492
F024,2025-10-07,0.492
F024,2025-10-08,0.526
F024,2025-10-09,0.502
F024,2025-10-10,0.523
F024,2025-10-11,0.503
F024,2025-10-12,0.498
F024,2025-10-13,0.52
F024,2025-10-14,0.512
F024,2025-10-15,0.497
F024,2025-10-16,0.527
F024,2025-10-17,0.524
F024,2025-10-18,0.496
F024,2025-10-19,0.486
F024,2025-10-20,0.531
F025,2025-09-21,0.443
F025,2025-09-22,0.472
F025,2025-09-23,0.473
F025,2025-09-24,0.456
F025,2025-09-25,0.456
F025,2025-09-26,0.472
F025,2025-09-27,0.458
F025,2025-09-28,0.469
F025,2025-09-29,0.45
F025,2025-09-30,0.458
F025,2025-10-01,0.437
F025,2025-10-02,0.446
F025,2025-10-03,0.437
F025,2025-10-04,0.431
F025,2025-10-05,0.463
F025,2025-10-06,0.424
F025,2025-10-07,0.443
F025,2025-10-08,0.432
F025,2025-10-09,0.417
F025,2025-10-10,0.48
F025,2025-10-11,0.437
F025,2025-10-12,0.416
F025,2025-10-13,0.483
F025,2025-10-14,0.407
F025,2025-10-15,0.446
F025,2025-10-16,0.445
F025,2025-10-17,0.425
F025,2025-10-18,0.453
F025,2025-10-19,0.451
F025,2025-10-20,0.434
F026,2025-09-21,0.479
F026,2025-09-22,0.432
F026,2025-09-23,0.439
F026,2025-09-24,0.451
F026,2025-09-25,0.455
F026,2025-09-26,0.443
F026,2025-09-27,0.454
F026,2025-09-28,0.442
F026,2025-09-29,0.437
F026,2025-09-30,0.466
F026,2025-10-01,0.468
F026,2025-10-02,0.443
F026,2025-10-03,0.441
F026,2025-10-04,0.455
F026,2025-10-05,0.482
F026,2025-10-06,0.457
F026,2025-10-07,0.471
F026,2025-10-08,0.445
F026,2025-10-09,0.419
F026,2025-10-10,0.475
F026,2025-10-11,0.459
F026,2025-10-12,0.435
F026,2025-10-13,0.443
F026,2025-10-14,0.469
F026,2025-10-15,0.451
F026,2025-10-16,0.47
F026,2025-10-17,0.43
F026,2025-10-18,0.417
F026,2025-10-19,0.46
F026,2025-10-20,0.464
F027,2025-09-21,0.451
F027,2025-09-22,0.448
F027,2025-09-23,0.451
F027,2025-09-24,0.448
F027,2025-09-25,0.464
F027,2025-09-26,0.462
F027,2025-09-27,0.434
F027,2025-09-28,0.47
F027,2025-09-29,0.451
F027,2025-09-30,0.434
F027,2025-10-01,0.453
F027,2025-10-02,0.459
F027,2025-10-03,0.491
F027,2025-10-04,0.457
F027,2025-10-05,0.454
F027,2025-10-06,0.438
F027,2025-10-07,0.462
F027,2025-10-08,0.457
F027,2025-10-09,0.423
F027,2025-10-10,0.447
F027,2025-10-11,0.469
F027,2025-10-12,0.476
F027,2025-10-13,0.467
F027,2025-10-14,0.441
F027,2025-10-15,0.449
F027,2025-10-16,0.449
F027,2025-10-17,0.411
F027,2025-10-18,0.455
F027,2025-10-19,0.428
F027,2025-10-20,0.468
F028,2025-09-21,0.672
F028,2025-09-22,0.645
F028,2025-09-23,0.647
F028,2025-09-24,0.63
F028,2025-09-25,0.649
F028,2025-09-26,0.66
F028,2025-09-27,0.656
F028,2025-09-28,0.628
F028,2025-09-29,0.636
F028,2025-09-30,0.624
F028,2025-10-01,0.672
F028,2025-10-02,0.671
F028,2025-10-03,0.663
F028,2025-10-04,0.649
F028,2025-10-05,0.663
F028,2025-10-06,0.64
F028,2025-10-07,0.663
F028,2025-10-08,0.653
F028,2025-10-09,0.649
F028,2025-10-10,0.647
F028,2025-10-11,0.646
F028,2025-10-12,0.66
F028,2025-10-13,0.688
F028,2025-10-14,0.597
F028,2025-10-15,0.639
F028,2025-10-16,0.698
F028,2025-10-17,0.622
F028,2025-10-18,0.674
F028,2025-10-19,0.64
F028,2025-10-20,0.637
F029,2025-09-21,0.595
F029,2025-09-22,0.632
F029,2025-09-23,0.646
F029,2025-09-24,0.643
F029,2025-09-25,0.635
F029,2025-09-26,0.676
F029,2025-09-27,0.653
F029,2025-09-28,0.623
F029,2025-09-29,0.662
F029,2025-09-30,0.63
F029,2025-10-01,0.671
F029,2025-10-02,0.648
F029,2025-10-03,0.654
F029,2025-10-04,0.653
F029,2025-10-05,0.635
F029,2025-10-06,0.647
F029,2025-10-07,0.646
F029,2025-10-08,0.652
F029,2025-10-09,0.634
F029,2025-10-10,0.614
F029,2025-10-11,0.656
F029,2025-10-12,0.632
F029,2025-10-13,0.665
F029,2025-10-14,0.649
F029,2025-10-15,0.683
F029,2025-10-16,0.664
F029,2025-10-17,0.657
F029,2025-10-18,0.645
F029,2025-10-19,0.667
F029,2025-10-20,0.629
F030,2025-09-21,0.658
F030,2025-09-22,0.659
F030,2025-09-23,0.642
F030,2025-09-24,0.592
F030,2025-09-25,0.705
F030,2025-09-26,0.645
F030,2025-09-27,0.645
F030,2025-09-28,0.618
F030,2025-09-29,0.657
F030,2025-09-30,0.664
F030,2025-10-01,0.634
F030,2025-10-02,0.68
F030,2025-10-03,0.644
F030,2025-10-04,0.637
F030,2025-10-05,0.625
F030,2025-10-06,0.66
F030,2025-10-07,0.669
F030,2025-10-08,0.667
F030,2025-10-09,0.627
F030,2025-10-10,0.679
F030,2025-10-11,0.637
F030,2025-10-12,0.621
F030,2025-10-13,0.625
F030,2025-10-14,0.669
F030,2025-10-15,0.659
F030,2025-10-16,0.653
F030,2025-10-17,0.676
F030,2025-10-18,0.662
F030,2025-10-19,0.648
F030,2025-10-20,0.638
F031,2025-09-21,0.448
F031,2025-09-22,0.429
F031,2025-09-23,0.428
F031,2025-09-24,0.434
F031,2025-09-25,0.465
F031,2025-09-26,0.45
F031,2025-09-27,0.439
F031,2025-09-28,0.433
F031,2025-09-29,0.462
F031,2025-09-30,0.439
F031,2025-10-01,0.474
F031,2025-10-02,0.425
F031,2025-10-03,0.455
F031,2025-10-04,0.426
F031,2025-10-05,0.442
F031,2025-10-06,0.463
F031,2025-10-07,0.472
F031,2025-10-08,0.428
F031,2025-10-09,0.456
F031,2025-10-10,0.408
F031,2025-10-11,0.437
F031,2025-10-12,0.444
F031,2025-10-13,0.455
F031,2025-10-14,0.442
F031,2025-10-15,0.411
F031,2025-10-16,0.409
F031,2025-10-17,0.436
F031,2025-10-18,0.445
F031,2025-10-19,0.442
F031,2025-10-20,0.456
F032,2025-09-21,0.495
F032,2025-09-22,0.523
F032,2025-09-23,0.496
F032,2025-09-24,0.496
F032,2025-09-25,0.479
F032,2025-09-26,0.503
F032,2025-09-27,0.512
F032,2025-09-28,0.491
F032,2025-09-29,0.487
F032,2025-09-30,0.482
F032,2025-10-01,0.511
F032,2025-10-02,0.494
F032,2025-10-03,0.51
F032,2025-10-04,0.487
F032,2025-10-05,0.517
F032,2025-10-06,0.494
F032,2025-10-07,0.486
F032,2025-10-08,0.449
F032,2025-10-09,0.503
F032,2025-10-10,0.501
F032,2025-10-11,0.475
F032,2025-10-12,0.517
F032,2025-10-13,0.486
F032,2025-10-14,0.509
F032,2025-10-15,0.483
F032,2025-10-16,0.492
F032,2025-10-17,0.485
F032,2025-10-18,0.486
F032,2025-10-19,0.484
F032,2025-10-20,0.5
F033,2025-09-21,0.654
F033,2025-09-22,0.67
F033,2025-09-23,0.656
F033,2025-09-24,0.657
F033,2025-09-25,0.655
F033,2025-09-26,0.63
F033,2025-09-27,0.606
F033,2025-09-28,0.659
F033,2025-09-29,0.675
F033,2025-09-30,0.638
F033,2025-10-01,0.646
F033,2025-10-02,0.674
F033,2025-10-03,0.623
F033,2025-10-04,0.641
F033,2025-10-05,0.669
F033,2025-10-06,0.654
F033,2025-10-07,0.66
F033,2025-10-08,0.647
F033,2025-10-09,0.645
F033,2025-10-10,0.636
F033,2025-10-11,0.648
F033,2025-10-12,0.631
F033,2025-10-13,0.652
F033,2025-10-14,0.656
F033,2025-10-15,0.647
F033,2025-10-16,0.669
F033,2025-10-17,0.698
F033,2025-10-18,0.646
F033,2025-10-19,0.661
F033,2025-10-20,0.686
F034,2025-09-21,0.501
F034,2025-09-22,0.529
F034,2025-09-23,0.56
F034,2025-09-24,0.565
F034,2025-09-25,0.555
F034,2025-09-26,0.594
F034,2025-09-27,0.533
F034,2025-09-28,0.547
